"Country","Year","TotalFatGramPerDay","TotalKCaloriePerDay","TotalCapProteinGPD","TotalCapSugarKPY","TotalCapFruitKPD","TotalCapVeggieKPY"
"Australia",2000,130,2991,101.3,45,91,98
"Australia",2001,134.3,3048,100.8,45.6,96.5,105.1
"Australia",2002,131.2,3077,104.8,45.7,95.3,94.6
"Australia",2003,131,3104,109.6,46.9,103,90.8
"Australia",2004,134,3052,101.5,46.8,101.1,100.5
"Australia",2005,137.3,3099,104.9,46.8,108.1,97.8
"Australia",2006,143.4,3156,104.6,46.4,100.7,97.5
"Australia",2007,143.9,3198,108.3,47.4,105.2,99.7
"Australia",2008,141,3199,106.5,47,101.6,102.3
"Australia",2009,143.6,3205,103.3,45.9,98.7,97
"Australia",2010,145.9,3213,103.8,46.1,100,97.8
"Australia",2011,148.6,3237,105.9,46.5,94.9,95.8
"Australia",2012,152.4,3257,104.5,45.9,91.5,99.9
"Australia",2013,150.9,3276,106.3,46.1,88.2,102.8
"Austria",2000,159,3726,106,46.5,127.3,82
"Austria",2001,160.7,3728,106.9,45.5,129.8,94.5
"Austria",2002,154.3,3652,106.1,44.9,120.3,91.4
"Austria",2003,151.3,3609,102.1,46.3,140.3,91.3
"Austria",2004,155.6,3606,100.5,47.5,141.1,102.1
"Austria",2005,152.3,3640,102.7,49.6,143.7,93.1
"Austria",2006,162.3,3719,101.5,48.8,144.1,94.8
"Austria",2007,162.8,3737,103.7,46.9,149.7,95.9
"Austria",2008,161.9,3717,101.8,48.8,156.7,101.8
"Austria",2009,167.8,3723,102.4,46.8,130.5,101.2
"Austria",2010,170.3,3724,101.8,48.3,130.7,105.7
"Austria",2011,166.2,3735,103.3,47.7,155.8,109.3
"Austria",2012,167.7,3739,103.4,47.3,156.4,103.8
"Austria",2013,170.4,3768,106.2,45.3,154.1,103.7
"Belgium",2000,161.5,3709,96.6,55,72.8,119.4
"Belgium",2001,164.9,3747,100.8,54.5,70.2,115.6
"Belgium",2002,165.8,3749,100.6,54.1,70.8,125.2
"Belgium",2003,162.1,3717,99.5,54.6,74.4,128.6
"Belgium",2004,160.8,3722,99.3,53.5,86.7,124.9
"Belgium",2005,163.3,3716,99.3,53.2,69.9,124.6
"Belgium",2006,163.6,3716,100.1,51,87.2,122.6
"Belgium",2007,165.2,3713,101.2,50.4,84.1,129.1
"Belgium",2008,162.4,3702,98.4,52.6,90.4,129.2
"Belgium",2009,159.4,3697,96.1,54.4,78.1,128.9
"Belgium",2010,161.3,3707,96.9,57.1,70.7,117.1
"Belgium",2011,167.7,3720,96.6,50.5,59.8,129.2
"Belgium",2012,161.6,3715,99,55.7,61.7,130.3
"Belgium",2013,162.3,3733,99.6,52.4,71.4,136.4
"Canada",2000,147.5,3506,106.1,50.6,126,120.2
"Canada",2001,145.5,3501,105.1,52.9,124.1,120.7
"Canada",2002,142.3,3496,105.3,55.7,124.3,125.6
"Canada",2003,148.1,3518,104,55.9,119.2,122.4
"Canada",2004,147.4,3525,104.8,54.3,120.6,122.4
"Canada",2005,144.3,3475,102.1,53.8,129.3,119.2
"Canada",2006,143.2,3470,103.5,52.8,131.9,121.1
"Canada",2007,144.9,3483,104.4,53.3,142.7,122.6
"Canada",2008,145.8,3465,104.7,51.3,132.8,114.1
"Canada",2009,145.3,3440,103.1,49.5,134,113.1
"Canada",2010,148.1,3447,104.1,46.1,133.3,110.7
"Canada",2011,149.7,3474,103.9,50,128.6,113
"Canada",2012,149,3485,104.6,48.2,125.8,115.2
"Canada",2013,147.1,3494,105,48.3,135.7,108.5
"Czech Republic",2000,111.5,3079,90.3,44.3,70.8,76
"Czech Republic",2001,114.1,3170,92.8,46.5,63.5,75.1
"Czech Republic",2002,115.5,3243,93,51.2,57.4,72.9
"Czech Republic",2003,120.4,3319,93,54.9,66.7,71
"Czech Republic",2004,116.8,3322,96.1,54.9,73.9,70
"Czech Republic",2005,128.1,3318,99.3,37.6,69.7,79
"Czech Republic",2006,137.7,3279,95.3,32.1,68.9,77.6
"Czech Republic",2007,134.3,3261,95.1,34.7,70.2,75.4
"Czech Republic",2008,137.7,3268,93.8,35,76.8,77.6
"Czech Republic",2009,136.2,3276,92.6,38.9,75.8,72
"Czech Republic",2010,137.7,3276,92.8,40.4,72,70.5
"Czech Republic",2011,133.3,3251,90.8,41.3,68.6,74
"Czech Republic",2012,137,3243,86.9,43.6,58.7,68.2
"Czech Republic",2013,137.1,3256,87.5,42.9,65.6,72.2
"Denmark",2000,134,3313,99.9,53.7,103.2,89.3
"Denmark",2001,135.5,3335,107.6,52,93.8,89.6
"Denmark",2002,130.6,3373,107.3,57.6,164.3,94.9
"Denmark",2003,130.1,3343,103.4,57.7,138.1,99.6
"Denmark",2004,133.4,3382,105.6,57.9,135,102.6
"Denmark",2005,137.5,3414,115.6,50.8,136.4,97.7
"Denmark",2006,130.9,3407,112.9,54,127,99.6
"Denmark",2007,130.4,3445,110.6,62.7,111.1,97.2
"Denmark",2008,127.2,3326,109.3,53.5,111,100.1
"Denmark",2009,131.3,3340,103.9,52.4,122,116.9
"Denmark",2010,130.3,3398,110.4,53.6,100.5,120.8
"Denmark",2011,131.3,3348,106.4,53.3,98.7,121.9
"Denmark",2012,134.1,3331,103.8,55.5,125.2,109.3
"Denmark",2013,134.5,3367,108.9,55.5,121.6,105.3
"Finland",2000,122.9,3151,101.2,38.5,82.2,71.1
"Finland",2001,126.5,3171,102.3,35,90.7,70.3
"Finland",2002,127.5,3152,102.1,34.8,83.5,72.2
"Finland",2003,126,3154,104.3,34.3,91.8,72.6
"Finland",2004,126.1,3188,105.3,34.8,95.8,75.3
"Finland",2005,127.5,3201,106,34,94.3,78.7
"Finland",2006,129.1,3237,108.1,33.4,89.8,74.6
"Finland",2007,131.7,3281,110.5,34.5,93.6,79.1
"Finland",2008,131.7,3236,111.8,29.9,87.7,78
"Finland",2009,131.1,3233,109.9,33.8,89.8,84.7
"Finland",2010,134.4,3280,112.4,30.8,89.5,80.2
"Finland",2011,138,3305,113.9,31.3,94.6,88
"Finland",2012,137.5,3323,116.4,31.7,100.9,82.4
"Finland",2013,140.3,3368,117.7,31.7,95.2,88.8
"France",2000,169.9,3605,117.5,39.7,97.4,109.4
"France",2001,171.4,3640,119.1,40.8,96.6,108
"France",2002,171.1,3656,118.9,41.3,100.9,109.4
"France",2003,168.4,3587,116.3,40.4,95.9,107.1
"France",2004,161.8,3555,114.1,41.2,107.5,112.2
"France",2005,162.9,3538,111.3,41.7,112.1,104.2
"France",2006,162.9,3513,111,37.9,110.9,97.6
"France",2007,160.4,3466,110.6,37.3,116.2,98.2
"France",2008,167.3,3551,112.6,36.3,115.3,100.8
"France",2009,165.1,3530,111.2,40.4,116,105.6
"France",2010,163.5,3536,113.2,38,113,103.1
"France",2011,161.4,3514,111.8,37.7,113.9,99.5
"France",2012,157.7,3460,111.3,38,107.9,98.3
"France",2013,159.2,3482,110.5,39.2,114.3,97.3
"Germany",2000,142.8,3336,94.5,42,113.7,89.3
"Germany",2001,137.1,3363,97.9,45.8,88.6,91.3
"Germany",2002,139,3427,99,45.2,96.3,90.5
"Germany",2003,139.2,3390,98,48.4,90.2,88.9
"Germany",2004,138.6,3411,96.7,49.3,84.2,91.1
"Germany",2005,139,3450,97,50.9,87.1,86.2
"Germany",2006,140.7,3466,99.2,48.2,84.3,88
"Germany",2007,146,3527,102.5,46.1,83.1,86.6
"Germany",2008,144.1,3517,101.3,49.5,81.1,87.9
"Germany",2009,142.8,3515,102.6,48.1,81.6,91.7
"Germany",2010,144.1,3504,101.9,49.9,78.7,90
"Germany",2011,145.7,3538,103.2,48.7,88.2,94.1
"Germany",2012,144.3,3501,101.8,47.4,87.9,96.9
"Germany",2013,141.9,3499,101.6,48.5,88.5,92.9
"Greece",2000,141.5,3602,120.8,33,164.8,288.1
"Greece",2001,142.2,3614,115.3,34.5,171,281.8
"Greece",2002,146.9,3639,113.9,34.4,166.1,263.2
"Greece",2003,147,3651,117.8,35.1,150.8,288.3
"Greece",2004,148.5,3719,117.3,36.5,184.9,302.4
"Greece",2005,149.2,3593,114.5,34,171,262.8
"Greece",2006,148.2,3485,113.6,28.6,151.9,237.9
